244606,13,Documentation clarification form: Cardiogenic shock,6,,,1
244607,13,Documentation clarification form: Malnutrition,6,,,1
244608,13,Documentation clarification form: MI,6,,,1
244609,13,Documentation clarification form: Stages of renal failure,6,,,1
244610,13,Documentation clarification form: CHF,6,,,1
244611,13,Documentation clarification form: HTN,6,,,1
244612,13,Documentation clarification form: Respiratory failure,6,,,1
244613,13,Documentation clarification form: Sepsis,6,,,1
244614,13,Documentation clarification form: Tamponade,6,,,1
245520,60,Good Documentation Certificate pdf,97,,2,1
247156,61,Policy: Standard Operating Procedure for Provider Queries,6,,2,1
247158,60,Sample CDI Newsletter: Sepsis Documentation,97,,,1
247159,60,Sample CDI Newsletter: Acute Renal Failure,97,,,1
248085,13,Kidney Disease Clarification,6,,,1
248086,13,Kidney Disease Query,6,,,1
250177,13,Query Form for Congestive Heart Failure,6,,,1
250179,60,Physician education: Congestive heart failure,7,,,1
252197,63,2010 Conference: Managing CDI Staff Across Multiple Campuses,2,,,1
252198,63,2010 Conference: Understanding the Role of Performance Mapping,2,,,1
252200,63,2010 Conference: From the Bedside to the Business Side,2,,,1
252201,63,2010 Conference: Physician Education Catch Them and Hold Them,97,2,2,1
252203,63,2010 Conference: Strategies for achieving medical staff compliance,97,2,2,1
252204,63,2010 Conference: Role of the physician champion,2,97,97,1
252206,63,"2010 Conference: Data Mining and Reports, Using Data to Drive your Program",2,,,1
252208,63,2010 Conference: Inpatient Medicare Advantage: HCC Capture Through CDI,3,,,1
252211,63,2010 Conference: Finding the Key to Success: Adapting to the EHR,2,,,1
252212,63,2010 Conference: The clinical/coding reconciliation process,4,2,2,1
252214,63,2010 Conference: Creating a Point-of-Entry Clinical Documentation Specialist/Case Manager,3,2,2,1
252216,63,2010 Conference: CDI and the RAC an Update on the Permanent Program,9,,,1
252217,63,2010 Conference: Bring CDI to your Emergency Department STAT!,3,,,1
252221,63,2010 Conference: Clinical Potpurri: A Review of Problematic Diagnoses,4,,,1
252229,63,2010 Conference: Ethics ends with the clarification,6,,,1
252230,63,2010 Conference: CDI and the ED,3,,,1
252239,63,2010 Conference: Care Documentation as a Clinical Process,4,97,97,1
252240,63,"2010 Conference: CMS Outcome Indicators Methodology, Risk Adjustment, & Strategy",9,,,1
252242,63,2010 Conference: Gray Areas in CDI,2,,,1
252244,63,2010 Conference: Spotlight on Compliance,9,,,1
252598,63,2010 Conference: Death review and SOI/ROM,2,4,4,1
253545,60,Renal failure documentation guide,97,,,1
254468,60,Debridement documentation flyer,97,,,1
254985,61,Sample CDI flexible schedule,2,,,1
256122,13,Sample Query: Debridement,6,,,1
256125,13,Sample Query: Congestive Heart Failure,6,,,1
256127,13,Sample Query: Unspecified chest pain,6,,,1
256130,13,Sample Query: Staging for Chronic Renal Failure,6,,,1
257298,13,Sample Query: Signs and Symptoms,6,,,1
258268,60,Physician education: BMI flyer,97,,,1
258560,61,CDI staff orientation checklist,2,,,1
258561,60,"Sample educational posters for CHF, pneumonia, malnutrition",97,,,1
259339,60,Top Five Documentation and Coding Challenges powerpoint: ARF,97,,,1
259401,60,Top Five Documentation and Coding Challenges powerpoint: Complications,97,,,1
259445,60,Toxic Metabolic Encephalopathy powerpoint presentation,97,,,1
261000,60,CDI training powerpoint for new hospitalists 1.5.11,97,,,1
261090,61,Sample chart review worksheet 1.7.11,2,,,1
262209,60,ARF PowerPoint,97,,,1
262227,61,Query Process Flow Chart,6,,,1
263642,60,Wisconsin Chapter Presentation: Pneumonia,97,,,1
263646,60,Michigan Chapter Presentation: ICD-10 primer for CDI specialists,97,,,1
263692,60,Coding guidelines for physicians,97,,,1
263695,60,Physician report card,97,,,1
263898,60,AKI tip sheet,97,,,1
264884,63,2011 Conference: Using Data to Recharge Your CDI Program,2,,,1
264886,63,2011 Conference: Benchmarking CDI: A Study of 37 Academic Medical Centers,2,,,1
264890,63,2011 Conference: Using the 'Dashboard' to Drive the CDI Process,2,,,1
264893,63,2011 Conference: ICD-10-CM/PCS ... What&rsquo;s the impact CDI?,4,,,1
264895,63,2011 Conference:Prepare Physicians and Mid-Level Practitioners for ICD-10,97,4,4,1
